,loss_train,loss_val,acc_train,acc_val,total_sec_elapsed
0,2.298689892839035,2.2988211156259504,0.09966666666666667,0.0997,4.97
1,0.9996102825335282,1.0131309649567117,0.5495666666666666,0.546,22.03
2,0.5944634373912466,0.6208617546145817,0.7718,0.7627,39.15
3,0.4698400556486661,0.4969875301957255,0.8237,0.8134,56.3
4,0.4216556459560966,0.45835041786007186,0.84575,0.8321,73.45
5,0.3901613193212797,0.43227687741482407,0.8555333333333334,0.8389,90.51
6,0.38086429525950277,0.42003547430687277,0.8562666666666666,0.8426,107.62
7,0.3517492392859698,0.39620722053152174,0.8678666666666667,0.8532,124.8
8,0.3351800351234432,0.38322260066745134,0.87415,0.8577,141.92
9,0.3356007076527634,0.3854468209681503,0.8762,0.8589,159.11
10,0.31664796082477437,0.3701912768221584,0.8820833333333333,0.8645,176.26
11,0.3115680231650914,0.36457919094912317,0.8849166666666667,0.8683,193.42
12,0.31066671948804153,0.366765846931746,0.88555,0.8677,210.67
