,loss_train,loss_val,acc_train,acc_val,total_sec_elapsed
0,2.7820131113725957,2.7740712494967594,0.08096666666666667,0.0802,7.36
1,0.5822349131420096,0.6039289231488797,0.7804833333333333,0.7717,31.71
2,0.4839926805378373,0.5155257137828878,0.8246,0.816,56.68
3,0.40651843613490796,0.44191522849926457,0.8472166666666666,0.8333,81.72
4,0.3683109187323551,0.40947217315469636,0.8598,0.8481,106.35
5,0.36105836167453476,0.4106103371750909,0.8652666666666666,0.8497,130.51
6,0.3563545934118881,0.4037188678862881,0.8653166666666666,0.8522,155.04
7,0.3272744682930529,0.37455895890865526,0.87675,0.8635,179.43
8,0.29538541170384475,0.3471015176600644,0.8890166666666667,0.8728,203.75
9,0.30370903376859,0.3613314164279055,0.8860333333333333,0.8681,228.43
