,loss_train,loss_val,acc_train,acc_val,total_sec_elapsed
0,2.4767724641717197,2.476403298201062,0.06998333333333333,0.0683,2.37
1,0.3614653532352597,0.407531185088014,0.8661166666666666,0.8546,17.9
2,0.3215866366997051,0.3777694574427594,0.88255,0.8635,33.82
3,0.287509592144712,0.34982519241548565,0.8934,0.8757,50.36
4,0.2654248600159539,0.3370952607340857,0.9007166666666667,0.8776,66.3
5,0.2540432445814581,0.3369053775186391,0.9059,0.8774,82.31
6,0.22810971688498782,0.3136665976524665,0.9160166666666667,0.8881,98.2
7,0.22729548379088332,0.317926772363831,0.917,0.8865,114.34
8,0.21986310150079832,0.32566754021091154,0.9180666666666667,0.8861,130.07
