,min_loss_val,max_acc_val,h_layers,heights,lr,batch_size,keep_rates,reshuff,max_strikes,max_consec,epochs_min_loss_val,total_sec
2.11E+18,0.358585723,0.8711,3,"expanding, (282 => 394)",0.000594343,5203,"range: (0.9941125678126558, 1)",FALSE,2,2,15,99.49
1.51E+18,0.353573566,0.8717,7,"contracting, (1152 => 965)",0.00038666,7891,"range: (0.9880689767730996, 1)",TRUE,2,2,8,373.7
1.12E+18,0.351692505,0.8719,4,"contracting, (2101 => 1473)",0.000401231,75,"range: (0.9157313153164707, 1)",TRUE,2,2,2,537.61
2.10E+18,0.346968806,0.872,2,"expanding, (1141 => 1400)",0.000484416,1064,"range: (0.9898878400860124, 1)",TRUE,2,2,5,111.39
1.70E+18,0.362070709,0.8721,1,"expanding, (503 => 503)",0.0003,696,"range: (0.717002367066579, 1)",TRUE,2,2,13,80.52
1.38E+18,0.365962154,0.8721,1,"flat, (2126 => 2126)",0.000869303,3517,"range: (0.9541273185107758, 1)",TRUE,2,2,8,102.51
1.57E+18,0.347101518,0.8728,5,"expanding, (779 => 1027)",0.000878298,2567,"range: (0.743697755047109, 1)",TRUE,2,2,8,228.43
1.44E+18,0.355216395,0.8728,1,"contracting, (2348 => 2147)",0.000617716,3002,"range: (0.9780414753874702, 1)",FALSE,2,2,10,129.11
6.34E+17,0.356746021,0.8738,1,"contracting, (1060 => 946)",0.000334253,3890,"range: (0.9863424704275877, 1)",FALSE,2,2,24,166.36
1.07E+18,0.347681383,0.8757,1,"expanding, (1268 => 1692)",0.000986096,4554,"range: (0.9506594907788668, 1)",TRUE,2,2,13,113.61
3.62E+17,0.337932119,0.8763,10,"expanding, (618 => 1188)",0.000100632,4759,"range: (0.9635786453953502, 1)",FALSE,2,2,11,650.53
1.43E+18,0.348288491,0.8766,2,"flat, (1699 => 1699)",0.00045098,2291,"range: (0.9457057763425653, 1)",TRUE,2,2,5,150.8
7.5399E+15,0.345227514,0.877,7,"expanding, (1219 => 1901)",0.000990939,1878,"range: (0.9162779062989066, 1)",TRUE,2,2,8,690.84
