,loss_train,loss_val,acc_train,acc_val,total_sec_elapsed
0,3.9701993387290937,3.957025057723073,0.13876666666666668,0.1382,13.08
1,0.8784529269880548,0.9324984624142262,0.7405,0.7233,60.48
2,0.4913747013698029,0.5209859722757619,0.8277,0.8207,106.83
3,0.38874856593380314,0.4300609373250255,0.86355,0.8459,153.67
4,0.33916316572356864,0.3887417547266199,0.8791,0.8595,199.96
5,0.3089208395884687,0.3702640941260455,0.88825,0.8659,246.96
6,0.2714063073650085,0.34820078140415217,0.9021833333333333,0.8731,293.32
7,0.256715715261498,0.3440027037126423,0.90605,0.8718,340.5
8,0.23146876850861073,0.3358555817464902,0.9158333333333334,0.8801,387.26
9,0.21607088468517083,0.32853814053644714,0.9233166666666667,0.8796,434.38
10,0.2013492920947531,0.32807045435787724,0.9274166666666667,0.8782,480.81
11,0.1745451884351555,0.31176327299597206,0.93895,0.888,527.61
12,0.15972861064716348,0.31623634847168997,0.9444833333333333,0.8861,574.72
13,0.16217143014355825,0.32917216780254566,0.9440166666666666,0.8817,621.25
