,loss_train,loss_val,acc_train,acc_val,total_sec_elapsed
0,2.887387975623544,2.8954221866527248,0.09103333333333333,0.0918,3.47
1,0.5456668386279433,0.57682609232504,0.8138666666666666,0.8004,11.91
2,0.44600484141931657,0.4770646298861186,0.8437666666666667,0.8297,20.69
3,0.40904688995662897,0.4450444088197409,0.8573,0.84,29.61
4,0.38827245518030323,0.42837607239574355,0.8633,0.8484,38.5
5,0.36123733733455554,0.40412237891190467,0.8746333333333334,0.8567,47.28
6,0.34217894628392637,0.39230792596312175,0.8809833333333333,0.8603,56.4
7,0.33000838874003213,0.3806972679632597,0.8827166666666667,0.8632,65.3
8,0.3191736416825639,0.37270566630104446,0.8874833333333333,0.8648,74.4
9,0.3031527079574295,0.35873090093878746,0.8923,0.8702,83.5
10,0.2945066789573903,0.35410020440351536,0.89585,0.8743,92.52
11,0.2889233964139029,0.3495352558828644,0.8971333333333333,0.8739,101.44
12,0.2927957187895948,0.35765328452073675,0.8959833333333334,0.8725,110.28
13,0.2734184058913932,0.33881279434963163,0.9033666666666667,0.8789,119.35
14,0.2660692755902049,0.33431021459657945,0.9067,0.8792,128.42
15,0.26407842282408794,0.3376336092739185,0.9056833333333333,0.8784,137.16
