,loss_train,loss_val,acc_train,acc_val,total_sec_elapsed
0,2.308898899629617,2.3084528449226913,0.10825,0.1094,2.35
1,1.5265198619892637,1.5313831544514425,0.6293666666666666,0.6242,9.16
2,0.7918727182738999,0.8137157373430702,0.6969833333333333,0.6864,16.04
3,0.6112732896625496,0.6296661707645684,0.7709666666666667,0.7612,22.9
4,0.5356767350308658,0.556316064779018,0.8070166666666667,0.7983,29.79
5,0.4977767700419353,0.526460196075469,0.8254833333333333,0.8127,36.7
6,0.4712406966499491,0.4990194449526779,0.8318,0.821,43.61
7,0.4361061794360685,0.46578834624676674,0.847,0.8351,50.62
8,0.41778301938977225,0.4494787931305979,0.8518166666666667,0.8414,57.65
9,0.40337691216251387,0.43729910833644636,0.85675,0.8426,64.64
10,0.3889736220517402,0.42554335704305357,0.8622,0.8481,71.95
11,0.38956851463485764,0.4269182678803967,0.8609166666666667,0.8452,78.89
12,0.3696164302858011,0.4086965006842223,0.8694166666666666,0.8547,86.4
13,0.36765204094225606,0.40656399480693234,0.86975,0.854,93.47
14,0.37373061237139815,0.41630954255970626,0.866,0.8523,100.32
