,loss_train,loss_val,acc_train,acc_val,total_sec_elapsed
0,2.7663641984491347,2.7929140438522673,0.10396666666666667,0.1028,8.43
1,1.6379802144095936,1.6841526047594186,0.5744166666666667,0.5682,34.48
2,0.7796138594278035,0.8038246685389627,0.74135,0.7297,60.47
3,0.5664383416993135,0.5978600231494621,0.8024333333333333,0.7902,86.32
4,0.4905867865312661,0.5193951507487307,0.8294833333333334,0.8204,111.92
5,0.43087778459701687,0.46570285316656884,0.8465,0.8308,137.96
6,0.392239923524566,0.42926333201242506,0.8604,0.8461,163.54
7,0.36709381993366974,0.4090700771489737,0.8678166666666667,0.851,189.35
8,0.3485087820918976,0.39395932742124595,0.8752333333333333,0.8567,214.92
9,0.333056319670038,0.38099985440135203,0.8811333333333333,0.8636,240.92
10,0.3156934634020311,0.36766963967346183,0.8857166666666667,0.8666,266.76
11,0.3037589916603292,0.3586781904268628,0.8894666666666666,0.8703,293.08
12,0.2896888325425671,0.35061211815703053,0.89415,0.8739,319.05
13,0.2783599586487713,0.34281377874393004,0.89955,0.8774,344.73
14,0.27379519854200346,0.34341101129386237,0.8994666666666666,0.8748,370.54
15,0.26060493187634565,0.3329343230500073,0.9048166666666667,0.8825,396.29
16,0.25692974773161975,0.3315427607561986,0.9068166666666667,0.8787,422.12
17,0.2473588342198012,0.3258780350249918,0.9103166666666667,0.8823,447.94
18,0.23734191816030636,0.31876060754039587,0.9120333333333334,0.8822,473.47
19,0.23529217905347602,0.3206824610228491,0.9142,0.8868,499.21
